Month,p05,p25,p50,p75,p95
291,4249611.65666538,10681796.451529248,18489201.818419486,31317327.676576503,70014002.37362912
292,4338807.589670885,10731003.420430182,18749731.611042246,31593487.12356583,70014002.37362912
293,4386397.653816547,10893739.182029542,19026380.386859547,31881423.05814922,70014002.37362912
294,4428939.51828519,10990689.133670317,19257911.35194651,32220778.951069597,70014002.37362912
295,4480560.049847351,11043747.487501463,19416891.94567263,32595390.432960004,70014002.37362912
296,4543296.359525922,11109905.651012234,19612810.533844873,32947839.631692726,70014002.37362912
297,4574912.849935068,11282388.79417684,19887902.56580814,33300306.243231885,70014002.37362912
298,4632893.207192939,11290148.432883304,20033857.82318229,33734989.88262221,70014002.37362912
299,4645251.098194531,11411853.187646456,20212232.13264503,34004540.38866759,70014002.37362912
300,4646444.26301342,11511052.856113877,20454690.17583133,34532741.46243258,70014002.37362912
